node,centrality,label,period,log_centrality
0030650000,0.002189370015486853,Kenyon College,Historic,-6.124141440698253
0046615000,0.005096065451894744,Hampshire College,Historic,-5.279286517016352
6250000385,0.0022814248080531953,6250000385,Historic,-6.08295511538156
0026328000,0.00021502456817326326,Seton Hall University,Historic,-8.444758265791679
4000311000,0.006287622168529203,American Association of Physics Teachers,Historic,-5.069172313362668
0031443000,1.4218386323084465e-07,Xavier University,Historic,-15.766144805405823
6250001118,2.912808583062698e-09,6250001118,Historic,-19.65414807240087
0030510000,0.02086637259518356,Kent State University,Historic,-3.8696163825260763
0026898000,0.020364839343325097,CUNY Hunter College,Historic,-3.893945426774892
0040634000,0.008699587265171026,CUNY Graduate School University Center,Historic,-4.744479695231888
0026872000,0.009894722218759325,CUNY Brooklyn College,Historic,-4.615753773211066
0021600000,0.00020206311565614248,Lesley University,Historic,-8.506930455623294
0037333000,1.0678306159773442e-05,Randolph-Macon College,Historic,-11.44729633628257
0020537000,0.044182340886095246,University of Maine,Historic,-3.1194300971947544
0028142000,0.0002587463483907409,Skidmore College,Historic,-8.259662325983829
0020958000,5.283042259052982e-06,St Mary's College of Maryland,Historic,-12.151008440750491
0025320000,0.04767635745260814,Montana State University,Historic,-3.0433196548520653
0012450000,0.0046742864650765195,Mount San Antonio College,Historic,-5.3656787556814125
0036145000,0.004679070414280464,0036145000,Historic,-5.36465581820927
0036772000,0.025917094214301217,Utah State University,Historic,-3.6528525197121393
0011569000,0.00011096971336763745,Sonoma State University,Historic,-9.106253246426775
0014951000,0.0002844959527380526,Jacksonville University,Historic,-8.16479153037587
0078709000,0.00016457311275901293,Hillsborough Community College,Historic,-8.71215563203739
0017376000,0.007887859832822433,Northern Illinois University,Historic,-4.842430431512298
5300012604,0.00016471054694170757,Rock Valley College,Historic,-8.711320885540708
0037697000,0.0029851579970338014,Bellevue College,Historic,-5.814102603208751
0037754000,0.002809310312080799,Eastern Washington University,Historic,-5.874816266302583
0037788000,0.004339568923238553,Gonzaga University,Historic,-5.439980262245751
0022194000,0.025879489928464675,Tufts University,Historic,-3.65430451864472
4007555000,0.0038214053897088307,Southwest Research Institute,Historic,-5.567137020958253
5300010535,0.00019159454172759934,Southwest Research Institute,Historic,-8.56012918068508
4001916000,0.005559714877601777,Planetary Science Institute,Historic,-5.192208453041436
0018275000,0.0026727998332271327,Purdue University Calumet,Historic,-5.924628729318043
0014894000,0.06786168517684868,Florida State University,Historic,-2.690283686794858
5300001194,0.007276713823764436,"Georgia State University Research Foundation, Inc.",Historic,-4.92307591651877
4003315000,0.008938988925686238,Bartol Research Institute,Historic,-4.717332791753323
0030056000,0.004526926178346337,University of North Dakota Main Campus,Historic,-5.39771211763138
0021287000,0.01343444282980756,Boston College,Historic,-4.309933509318562
4012266000,0.00021524664325502557,Exploratorium,Historic,-8.443726009412059
5300016440,0.0002660825372520304,5300016440,Historic,-8.231704006891524
4202727000,0.013030725194362628,4202727000,Historic,-4.340445233648702
0037366000,0.00015416363158743182,Roanoke College,Historic,-8.777495976874137
0011312000,0.0715454768851733,California Institute of Technology,Historic,-2.637421991118037
4004149000,0.0026671766897668923,"Institute of Electrical & Electronics Engineers, Inc.",Historic,-5.926734785595433
0038638000,0.017763977181079863,Marquette University,Historic,-4.030582626112897
0023580000,0.011351620332477573,Macalester College,Historic,-4.478394784673335
4001434000,0.004222457590250106,4001434000,Historic,-5.4673379530864334
0010090000,0.014282936546064795,Auburn University,Historic,-4.248689702731076
0034256000,0.06636387934386427,Clemson University,Historic,-2.7126023562988735
0037283001,0.01570306215797535,Old Dominion University Research Foundation,Historic,-4.153899543736817
0037283000,0.03760407537083497,Old Dominion University,Historic,-3.280642846937585
0014142000,0.002042117773093409,Trinity College,Historic,-6.1937678855387635
5300002894,4.169154625304376e-05,"Connecticut Pre-Engineering Program, Inc.",Historic,-10.085212177456318
0037051000,0.016272014186024267,College of William and Mary,Historic,-4.118308567870495
6250008691,0.006304389337178864,6250008691,Historic,-5.066509167994363
4004321000,0.011445946030966077,Jackson Laboratory,Historic,-4.470119670106284
4301859000,0.00017672133485731895,4301859000,Historic,-8.640936445365101
0014811000,0.00847621187932102,Florida Atlantic University,Historic,-4.770491641328228
5300003142,0.00017672133485731895,Florida Council of Teachers of Mathematics,Historic,-8.640936445365101
4037347000,0.00011298304278890898,Monell Chemical Senses Center,Historic,-9.088272814327599
0001289000,0.00553268084190494,University of Colorado at Denver,Historic,-5.197082799378537
4100160000,0.02343199577174727,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Historic,-3.753652849904516
4003554000,0.03926982236588018,Gordon Research Conferences,Historic,-3.2372989338075886
0011080000,0.04359732657624387,University of Arkansas,Historic,-3.1327594475657428
0034587000,0.0012880249543200345,Augustana University Association,Historic,-6.6546452770155815
0027086000,0.01650165511718816,Barnard College,Historic,-4.104294592973711
